subscription_id,user_id,plan_type,status,start_date,start_time,end_date,end_time,monthly_fee_cents,updated_at
sub_0384,usr_463,STANDARD,canceled,2022-08-26,12:04:37,2022-11-32,04:12:48,999,2022-08-31 19:12:00
sub_0018,usr_174,Basic,canceled,2021-08-05,05:00:21,2022-01-14,06:15:32,599,2022-01-17 18:02:00
sub_0292,usr_531,Basic,CANCELLED,2021-11-01,03:21:10,2022-03-14,05:42:12,599,2022-03-15 22:29:00
sub_0069,usr_534,BASIC,cancelled,0000-00-00,13:20:16,2024-07-24,12:45:45,599,2024-07-24 19:54:00
sub_0447,usr_467,premium,Cancelled,2021-14-12,08:26:06,2022-06-14,21:50:12,1499,2022-06-19 01:50:00
sub_0166,usr_199,Premium,CANCELLED,2020-06-05,13:41:38,2020-10-25,18:08:59,1499,2020-10-27 02:05:00
sub_0085,usr_745,premium,CANCELLED,2020-11-30,21:52:39,2020-10-13,05:55:53,1499,2020-10-18 14:30:00
sub_0401,usr_908,basic,paused,2022-11-23,05:31:47,2023-03-30,02:26:32,599,2023-03-30 11:31:00
sub_0431,usr_384,Basic,PAUSED,2023-02-14,17:02:24,2024-05-27,09:11:49,599,null
sub_0178,usr_677,PREMIUM,Cancelled,0000-00-00,18:53:22,2024-02-16,02:21:00,1499,2024-02-16 07:07:00
sub_0360,usr_762,Standard,cancelled,2024-04-04,12:09:49,2024-05-31,08:11:58,999,2024-06-01 04:56:00
sub_0287,usr_255,Basic,active,0000-00-00,01:39:45,,,599,2024-06-20 22:54:00
sub_0055,usr_528,standard,ACTIVE,2022-06-32,19:41:37,,,,2022-12-24 00:25:00
sub_0315,usr_928,Premium,Cancelled,2022-10-01,12:32:25,2023-07-10,17:29:02,1499,2023-07-14 05:53:00
sub_0414,usr_885,Basic,CANCELLED,2023-08-14,13:21:43,2023-9-6,17:54:49,599,2023-09-08 04:57:00
sub_0242,usr_688,standard,Active,2021-01-31,16:21:51,,,999,2021-02-02 05:46:00
sub_0159,usr_292,basic,Trialing,2024-05-24,13:50:35,2024-07-03,17:18:35,0,2024-07-08 22:17:00
sub_0316,usr_928,Standard,Cancelled,2023-08-10,05:54:34,2023-10-14,18:33:13,999,2023-10-18 07:54:00
sub_0320,usr_811,PREMIUM,cancelled,2023-03-14,14:29:48,2024-03-20,03:15:47,1499,2024-03-25 10:12:00
sub_0044,usr_319,Standard,Trialing,2023-11-13,null,,,NULL,2023-11-18 06:25:00
sub_0061,usr_192,basic,PAUSED,2022-02-25,03:02:02,2022-04-30,20:40:18,599,2022-05-01 09:20:00
sub_0250,usr_606,premium,Cancelled,2024-03-28,16:54:57,2024-05-01,17:13:09,1499,2024-05-05 22:16:00
sub_0087,usr_745,Premium,Cancelled,2021-06-17,07:24:24,2022-08-24,22:00:20,1499,2022-08-24 09:53:00
sub_0199,usr_644,STANDARD,CANCELLED,2021-11-27,06:35:50,,,1499,2021-11-29 02:40:00
sub_0443,usr_525,premium,Cancelled,2020-05-29,18:44:16,2020-10-14,19:23:47,1499,2020-10-19 20:53:00
sub_0226,usr_913,BASIC,Cancelled,0000-00-00,10:56:48,2023-10-19,18:52:28,599,2023-10-20 23:17:00
sub_0158,usr_292,basic,Cancelled,2023-04-12,NULL,2024-03-21,16:07:33,599,2024-03-22 07:46:00
sub_0237,usr_349,Standard,CANCELLED,2023-12-08,23:19:03,2024-02-11,10:32:15,999,2024-02-12 10:07:00
sub_0041,usr_619,standard,canceled,2023-10-29,07:41:51,2023-12-6,15:56:52,999,2023-12-08 07:07:00
sub_0305,usr_882,BASIC,canceled,2021-03-28,15:17:11,2021-08-03,17:13:29,599,2021-08-03 02:43:00
sub_0312,usr_686,Standard,Active,2023-12-24,13:01:18,,,999,2023-12-24 16:31:00
sub_0262,usr_394,STANDARD,CANCELLED,2022-01-11,18:24:46,2022-10-03,19:10:20,999,NULL
sub_0421,usr_909,BASIC,Paused,2021-05-16,20:13:24,2022-04-12,11:57:34,599,2022-04-17 20:37:00
sub_0375,usr_495,STANDARD,Active,2024-06-01,19:07:21,,,999,2024-06-03 10:58:00
sub_0254,usr_451,Standard,active,2022-07-15,15:37:32,,,999,2022-07-18 03:22:00
sub_0294,usr_531,Standard,cancelled,2023-03-29,04:45:30,2023-06-25,09:43:12,999,2023-06-26 21:28:00
sub_0129,usr_247,premium,Paused,2022-05-26,04:38:29,,,N/A,2022-05-27 01:03:00
sub_0099,usr_699,Premium,cancelled,2021-01-28,02:44:46,2021-11-09,10:18:53,1499,2021-11-12 04:55:00
sub_0255,usr_846,Basic,canceled,2023-08-14,18:35:00,2024-03-02,22:58:43,599,2024-03-07 21:47:00
sub_0241,usr_183,basic,ACTIVE,2024-05-09,17:07:05,,,599,2024-05-13 09:48:00
sub_0115,usr_670,PREMIUM,cancelled,2021-09-20,09:25:53,2022-08-30,17:36:17,1499,2022-08-31 13:38:00
sub_0314,usr_928,premium,cancelled,2022-05-15,05:45:41,2022-09-06,20:33:43,1499,2022-09-11 13:12:00
sub_0184,usr_310,Premium,CANCELLED,2020-04-18,21:37:10,2021-05-25,17:41:40,1499,2021-05-26 06:37:00
sub_0025,usr_648,premium,Active,2021-02-04,09:16:23,,,1499,2021-02-06 01:17:00
sub_0246,usr_637,basic,CANCELLED,2024-2-5,00:57:50,2024-04-01,15:47:03,599,2024-04-04 12:19:00
sub_0416,usr_885,Standard,CANCELLED,2023-12-27,07:10:10,2024-13-25,15:03:17,999,2023-12-30 04:55:00
sub_0145,usr_285,BASIC,paused,2024-13-22,23:23:32,2024-05-21,12:21:03,599,2024-05-24 16:23:00
sub_0298,usr_140,Basic,canceled,2024-03-10,16:15:08,2024-04-22,06:28:50,599,2024-04-26 23:51:00
sub_0403,usr_232,standard,Cancelled,2023-06-02,19:54:03,2023-06-22,19:32:58,null,2023-06-27 17:22:00
sub_0358,usr_417,Premium,paused,2024-01-14,23:04:20,2024-03-30,19:11:40,1499,2024-03-31 05:55:00
sub_0412,usr_500,Basic,CANCELLED,2024-09-27,13:30:01,2024-07-31,00:20:22,599,2024-08-03 11:59:00
sub_0322,usr_458,BASIC,cancelled,2023-08-24,13:12:14,2023-9-26,01:54:27,599,2023-09-26 18:24:00
sub_0002,usr_431,BASIC,canceled,2021-11-30,12:25:25,2022-11-09,06:04:13,599,2022-11-09 18:09:00
sub_0121,usr_396,Basic,PAUSED,2021-02-22,22:16:38,2021-09-18,12:38:32,599,2021-09-20 23:49:00
sub_0036,usr_696,Basic,active,2024-03-24,09:52:51,,,599,2024-03-25 10:23:00
sub_0365,usr_556,STANDARD,CANCELLED,2024-01-28,01:23:53,2024-03-30,04:19:18,999,2024-03-31 13:41:00
sub_0274,usr_624,premium,cancelled,2024-02-06,04:09:07,2024-05-17,18:36:06,1499,2024-05-22 01:15:00
sub_0052,usr_528,Premium,cancelled,2020-04-09,14:35:33,2020-09-05,20:54:25,1499,2020-09-09 04:23:00
sub_0014,usr_149,Basic,Cancelled,2022-05-21,20:05:51,2022-07-14,03:29:00,599,2022-07-18 04:02:00
sub_0017,usr_174,basic,canceled,2020-14-21,08:27:10,2021-07-30,09:38:15,599,2021-08-02 00:16:00
sub_0240,usr_183,basic,CANCELLED,2022-11-30,03:45:47,2024-03-29,04:33:06,599,2024-04-01 05:15:00
sub_0012,usr_766,basic,CANCELLED,2023-09-29,16:25:21,2024-3-30,11:01:21,599,2024-04-03 19:18:00
sub_0120,usr_236,basic,Active,2020-11-08,17:53:50,,,599,2020-11-13 12:24:00
sub_0176,usr_677,Standard,PAUSED,2022-02-31,06:31:17,2023-07-16,02:12:08,999,2023-07-20 19:06:00
sub_0139,usr_415,basic,Trialing,2024-06-09,00:44:38,,,0,2024-06-13 06:36:00
sub_0293,usr_531,standard,canceled,2022-05-11,10:43:25,,,999,2022-05-16 16:08:00
sub_0228,usr_913,basic,Cancelled,2024-02-04,18:57:16,2024-03-24,20:15:26,599,2024-03-29 23:03:00
sub_0326,usr_708,standard,CANCELLED,2023-12-11,07:47:45,2024-01-22,03:15:28,999,2024-01-25 05:54:00
sub_0039,usr_619,STANDARD,cancelled,2022-0-01,12:48:10,2023-09-32,10:10:27,999,2022-08-01 13:31:00
sub_0229,usr_913,basic,Cancelled,2024-05-31,10:43:48,2024-06-25,07:27:05,599,2024-06-26 23:14:00
sub_0113,usr_147,PREMIUM,Paused,2022-04-01,04:56:12,2022-11-12,19:57:37,1499,2022-11-14 10:23:00
sub_0114,usr_147,STANDARD,CANCELLED,2023-01-19,16:56:26,2024-03-31,16:57:12,999,2024-04-02 18:40:00
sub_0060,usr_346,PREMIUM,active,2024-03-30,22:41:40,,,1499,2024-10-30 17:57:00
sub_0187,usr_310,Premium,Cancelled,2023-01-08,05:24:17,2023-08-01,11:56:52,1499,2023-08-05 19:12:00
sub_0122,usr_396,Basic,Paused,2021-10-04,22:11:49,2022-01-28,03:04:35,599,2022-02-02 09:05:00
sub_0449,usr_799,PREMIUM,CANCELLED,2024-03-20,19:34:24,2024-04-13,10:41:57,1499,2024-04-18 18:32:00
sub_0263,usr_394,Premium,paused,2022-10-28,17:31:17,2023-07-26,01:09:27,1499,2023-07-30 13:45:00
sub_0162,usr_481,PREMIUM,canceled,2024-02-21,19:48:16,2024-04-12,18:30:36,1499,2024-04-14 16:13:00
sub_0189,usr_608,STANDARD,cancelled,2022-01-11,21:24:33,2023-05-10,15:23:44,999,2023-05-10 17:24:00
sub_0070,usr_534,Premium,paused,2024-08-26,NULL,2024-09-16,05:45:50,1499,2024-09-20 14:34:00
sub_0031,usr_474,basic,Cancelled,2020-01-03,NULL,2020-12-08,20:27:44,599,2020-12-12 06:24:00
sub_0386,usr_272,PREMIUM,canceled,2020-11-18,10:36:17,2020-12-18,11:01:04,1499,2020-12-18 16:26:00
sub_0284,usr_450,PREMIUM,active,2024-08-05,11:44:01,,,1499,2024-08-10 09:51:00
sub_0407,usr_353,standard,cancelled,2022-06-29,03:13:13,,,999,2022-06-29 03:50:00
sub_0204,usr_537,STANDARD,Active,2021-07-12,23:46:24,,,999,
sub_0309,usr_686,BASIC,CANCELLED,2021-05-31,06:09:28,2022-02-14,16:10:27,599,2022-02-18 00:26:00
sub_0071,usr_534,Premium,ACTIVE,2024-10-12,N/A,,,1499,2024-10-17 01:16:00
sub_0076,usr_160,premium,Paused,2025-02-03,08:26:14,,,1499,2025-02-08 15:15:00
sub_0010,usr_504,standard,CANCELLED,2020-12-22,19:32:38,2021-08-30,15:32:15,999,2021-08-31 14:08:00
sub_0230,usr_284,basic,canceled,2022-01-17,null,2022-12-18,02:30:37,599,2022-12-23 13:20:00
sub_0221,usr_406,premium,PAUSED,2022-09-18,12:07:03,2022-11-05,05:32:55,1499,2022-11-08 23:08:00
sub_0269,usr_993,STANDARD,cancelled,2023-02-08,10:56:06,2023-05-10,09:21:24,null,2023-05-13 03:18:00
sub_0096,usr_163,Standard,Active,2023-03-15,08:31:06,,,999,2023-03-20 06:35:00
sub_0123,usr_396,Standard,Active,2022-04-03,20:55:55,,,999,2022-04-05 13:01:00
sub_0195,usr_796,STANDARD,PAUSED,2023-09-18,12:25:53,2023-10-14,15:51:21,999,2023-10-19 16:26:00
sub_0372,usr_833,BASIC,Active,2024-09-12,03:30:04,,,599,2024-09-15 17:53:00
sub_0212,usr_576,Standard,TRIALING,2024-02-31,null,,,0,2024-06-03 08:51:00
sub_0328,usr_708,Basic,Trialing,2024-04-13,00:03:55,,,0,2024-04-15 04:58:00
sub_0050,usr_188,standard,trialing,0000-00-00,15:18:51,,,0,2024-01-09 05:20:00
sub_0216,usr_564,basic,CANCELLED,2023-01-02,04:35:07,2024-05-07,05:57:06,599,2024-05-10 23:56:00
sub_0134,usr_220,PREMIUM,ACTIVE,2021-07-23,09:04:42,,,null,2021-07-28 05:24:00
sub_0215,usr_965,Standard,Active,2023-05-26,02:44:55,,,999,2023-05-31 02:38:00
sub_0392,usr_219,STANDARD,Active,2022-06-21,10:08:26,,,999,null
sub_0157,usr_292,Basic,paused,2022-03-24,21:45:25,,,599,NULL
sub_0083,usr_328,basic,canceled,2022-08-04,13:35:06,,,599,2022-08-04 06:55:00
sub_0165,usr_199,Premium,Paused,2020-05-30,22:34:17,2020-05-24,14:05:33,1499,2020-05-26 19:49:00
sub_0183,usr_733,STANDARD,paused,2023-14-15,01:54:23,,,999,2023-02-18 21:49:00
sub_0148,usr_205,Basic,active,2022-05-18,19:18:55,,,599,2022-05-18 02:51:00
sub_0048,usr_188,BASIC,CANCELLED,2023-02-10,18:15:27,2023-10-16,05:01:00,599,2023-10-20 14:53:00
sub_0197,usr_796,BASIC,canceled,2024-04-01,09:08:41,2024-04-23,19:38:52,599,2024-04-23 11:43:00
sub_0169,usr_660,PREMIUM,canceled,2022-08-24,13:53:37,2023-03-32,10:21:12,1499,2022-08-28 08:05:00
sub_0006,usr_254,PREMIUM,cancelled,2021-04-23,15:58:41,2022-07-14,12:50:45,1499,2022-07-19 10:05:00
sub_0016,usr_149,basic,Active,2023-03-13,20:27:42,,,599,2023-03-15 06:53:00
sub_0379,usr_929,BASIC,Paused,2022-07-09,18:03:09,,,599,2022-07-12 06:00:00
sub_0307,usr_671,Basic,CANCELLED,2023-0-08,21:05:18,2023-10-31,22:51:10,599,2023-10-31 23:58:00
sub_0290,usr_600,BASIC,PAUSED,2022-12-15,02:19:29,2023-0-05,05:23:00,599,2022-12-17 16:23:00
sub_0418,usr_182,BASIC,cancelled,2022-11-08,15:54:15,2023-10-27,23:41:17,599,2023-10-28 08:00:00
sub_0098,usr_690,premium,active,0000-00-00,05:33:49,,,1499,2022-05-15 15:48:00
sub_0357,usr_818,BASIC,active,0000-00-00,22:37:00,,,599,2023-05-29 18:57:00
sub_0278,usr_268,Premium,CANCELLED,2024-07-04,10:15:17,,,1499,2024-07-06 20:06:00
sub_0302,usr_179,standard,PAUSED,2021-12-20,06:54:49,2023-01-16,18:11:41,999,2023-01-21 05:44:00
sub_0302,usr_179,standard,PAUSED,2021-12-20,06:54:49,2023-01-16,18:11:41,999,2023-01-21 05:44:00
sub_0346,usr_780,Standard,cancelled,2022-10-10,15:12:02,2022-12-12,03:31:09,999,2022-12-16 19:09:00
sub_0343,usr_813,Standard,CANCELLED,2023-08-12,09:48:47,2024-01-09,23:00:14,999,2024-01-11 10:01:00
sub_0046,usr_138,Basic,ACTIVE,0000-00-00,01:58:30,,,599,2021-06-24 05:40:00
sub_0366,usr_556,Basic,CANCELLED,2024-05-10,04:19:24,2024-05-30,02:33:21,599,2024-06-03 17:50:00
sub_0448,usr_467,STANDARD,Active,2022-07-25,05:08:05,,,999,2022-07-26 08:56:00
sub_0135,usr_684,standard,PAUSED,2021-02-04,16:29:27,2022-05-13,12:38:39,999,2022-05-18 09:36:00
sub_0088,usr_745,PREMIUM,canceled,2022-10-18,15:22:34,2023-12-20,23:59:14,1499,2023-12-21 08:37:00
sub_0140,usr_673,PREMIUM,CANCELLED,2021-02-31,N/A,2022-12-24,19:22:06,1499,2022-12-29 07:16:00
sub_0439,usr_823,Basic,canceled,2022-12-18,22:47:51,2023-01-26,14:48:55,599,2023-01-30 12:16:00
sub_0030,usr_196,Premium,paused,2024-09-31,14:28:15,,,1499,2024-03-26 22:41:00
sub_0450,usr_799,Premium,PAUSED,2024-07-11,02:06:30,2024-08-10,04:34:51,1499,2024-08-11 20:07:00
sub_0131,usr_653,STANDARD,active,2020-12-13,23:41:44,,,999,2020-12-15 11:11:00
sub_0424,usr_511,STANDARD,cancelled,2023-02-06,15:09:13,2024-04-09,01:03:26,999,2024-04-14 17:09:00
sub_0231,usr_284,BASIC,Cancelled,2023-01-30,17:41:13,2023-08-27,09:41:16,599,2023-08-31 01:12:00
sub_0172,usr_829,Standard,cancelled,2020-12-15,06:03:11,0000-00-00,02:52:38,999,2020-12-16 15:14:00
sub_0330,usr_693,Premium,Active,2021-07-31,17:10:28,,,1499,2021-07-31 02:58:00
sub_0073,usr_160,Premium,canceled,2024-05-04,09:48:35,2024-06-28,08:45:24,1499,2024-07-03 08:22:00
sub_0019,usr_174,premium,CANCELLED,2022-01-26,22:50:56,2023-02-18,04:18:46,1499,2023-02-22 20:27:00
sub_0137,usr_415,standard,CANCELLED,2022-03-22,06:35:47,2023-3-9,16:42:16,999,2023-03-13 22:07:00
sub_0270,usr_993,STANDARD,TRIALING,2023-06-02,20:12:34,,,0,2023-06-04 22:15:00
sub_0388,usr_272,premium,Active,2021-11-04,07:14:11,,,1499,2021-11-08 15:12:00
sub_0334,usr_170,STANDARD,canceled,2020-02-02,00:17:54,,,999,2020-02-07 23:05:00
sub_0015,usr_149,basic,Cancelled,2022-09-23,09:40:19,2023-03-10,21:11:17,599,2023-03-10 23:32:00
sub_0411,usr_500,basic,CANCELLED,2023-06-28,21:19:21,2024-07-01,12:23:14,599,2024-07-01 06:33:00
sub_0395,usr_605,PREMIUM,active,2024-05-11,22:48:13,,,1499,2024-05-13 22:56:00
sub_0348,usr_166,PREMIUM,cancelled,2023-12-26,11:43:05,2024-06-15,12:51:51,1499,2024-06-19 00:12:00
sub_0367,usr_556,basic,active,2024-07-28,10:55:26,,,599,2024-07-30 01:09:00
sub_0338,usr_376,STANDARD,active,2023-02-07,03:02:05,,,999,2023-02-10 07:17:00
sub_0125,usr_529,PREMIUM,CANCELLED,2023-02-05,16:16:59,2024-05-32,01:56:54,1499,2023-02-05 01:50:00
sub_0066,usr_664,BASIC,PAUSED,2024-05-25,06:17:19,,,599,2024-05-29 16:22:00
sub_0154,usr_754,Premium,canceled,2022-05-15,11:03:14,2023-09-11,21:40:55,1499,2023-09-12 11:13:00
sub_0171,usr_829,Standard,CANCELLED,2020-10-16,22:35:42,2020-11-09,13:36:52,999,2020-11-10 22:13:00
sub_0432,usr_384,basic,Cancelled,2024-07-15,19:07:35,2024-08-15,15:55:54,599,2024-08-16 03:25:00
sub_0222,usr_406,Premium,cancelled,2022-14-18,15:30:16,2023-10-25,16:57:01,1499,2023-10-26 15:42:00
sub_0344,usr_780,basic,Cancelled,2021-07-11,20:23:21,2022-03-06,18:59:28,599,2022-03-11 01:21:00
sub_0218,usr_564,basic,cancelled,2024-08-04,20:05:36,2024-06-30,11:34:46,599,2024-07-02 05:33:00
sub_0451,usr_799,premium,cancelled,2024-10-06,17:20:18,2024-10-26,00:38:16,1499,2024-10-26 16:21:00
sub_0034,usr_474,BASIC,trialing,2023-01-17,07:31:26,,,0,2023-01-17 19:09:00
sub_0203,usr_537,Standard,Paused,2021-4-24,null,2021-06-25,10:30:57,999,2021-06-27 16:24:00
sub_0355,usr_818,Basic,cancelled,2022-06-21,12:31:28,2023-01-32,04:55:03,599,2022-06-21 07:53:00
sub_0149,usr_695,PREMIUM,Active,2021-07-08,20:20:59,,,1499,2021-07-13 10:11:00
sub_0209,usr_421,BASIC,Cancelled,2023-10-32,09:29:25,2023-02-06,16:51:53,599,2023-02-11 13:07:00
sub_0404,usr_232,Standard,ACTIVE,2023-13-20,08:28:09,,,999,2023-08-21 14:10:00
sub_0153,usr_754,Premium,paused,2021-06-14,05:55:47,2022-04-32,14:55:31,1499,2021-06-15 10:50:00
sub_0289,usr_600,BASIC,canceled,2022-01-13,09:17:30,2022-09-29,01:42:24,599,2022-10-02 17:24:00
sub_0371,usr_833,Premium,PAUSED,2024-05-18,01:23:27,0000-00-00,19:51:42,1499,N/A
sub_0434,usr_540,STANDARD,canceled,2020-10-26,21:31:53,2022-03-06,13:41:53,599,2022-03-10 03:33:00
sub_0332,usr_567,Premium,Paused,2023-05-25,19:58:05,2023-07-16,13:16:31,1499,2023-07-21 05:32:00
sub_0194,usr_796,STANDARD,CANCELLED,0000-00-00,14:49:00,2023-07-09,11:16:15,999,2023-07-12 22:07:00
sub_0363,usr_691,Standard,PAUSED,2022-09-17,03:25:41,,,999,2022-09-21 20:45:00
sub_0170,usr_660,PREMIUM,Active,2023-11-06,21:03:19,,,1499,2023-11-06 06:34:00
sub_0078,usr_679,Premium,Cancelled,2020-07-11,04:02:13,2021-1-20,21:23:21,1499,2021-01-22 13:21:00
sub_0104,usr_506,Premium,cancelled,2024-05-07,13:42:40,,,1499,2024-05-10 20:02:00
sub_0047,usr_188,BASIC,cancelled,2022-08-26,12:33:10,2022-11-30,23:52:57,599,2022-12-05 10:07:00
sub_0288,usr_600,basic,canceled,2021-10-21,16:41:54,2022-01-11,14:19:26,599,2022-01-14 07:41:00
sub_0445,usr_525,Premium,TRIALING,2022-03-08,23:33:42,,,0,2022-03-11 05:54:00
sub_0394,usr_605,Standard,Paused,2023-10-8,18:55:52,2024-03-18,08:25:36,999,2024-03-18 13:50:00
sub_0437,usr_385,standard,canceled,2022-05-09,13:45:30,2023-05-31,17:18:10,999,2023-05-31 16:09:00
sub_0437,usr_385,standard,canceled,2022-05-09,13:45:30,2023-05-31,17:18:10,999,2023-05-31 16:09:00
sub_0333,usr_567,Standard,canceled,2023-07-30,17:40:46,2023-08-13,16:08:18,999,2023-08-17 15:39:00
sub_0256,usr_846,Standard,Cancelled,2024-04-27,21:14:21,2024-06-06,05:18:07,999,2024-06-09 15:17:00
sub_0156,usr_754,Premium,Trialing,2023-03-31,13:55:08,,,0,2023-11-29 09:09:00
sub_0181,usr_733,BASIC,Cancelled,2021-04-24,16:45:52,2021-06-20,03:02:13,599,2021-06-20 14:37:00
sub_0043,usr_319,PREMIUM,CANCELLED,2023-05-12,00:52:20,2023-09-03,02:13:02,1499,2023-09-06 21:35:00
sub_0339,usr_585,standard,cancelled,2024-01-05,20:51:25,2024-05-01,11:43:17,999,2024-05-04 07:39:00
sub_0100,usr_699,premium,Paused,2022-01-12,11:36:38,2022-10-25,16:04:07,1499,2022-10-27 22:55:00
sub_0200,usr_644,Premium,Paused,2023-03-14,01:51:23,2024-03-04,02:41:30,1499,2024-03-09 19:29:00
sub_0026,usr_196,Standard,canceled,2021-05-25,06:49:23,2022-07-32,17:35:13,999,2021-05-29 04:41:00
sub_0378,usr_929,basic,Cancelled,2020-12-31,14:28:50,2022-05-09,08:59:33,599,2022-05-12 19:35:00
sub_0272,usr_954,PREMIUM,active,2021-08-24,05:00:36,,,1499,2021-08-26 18:56:00
sub_0390,usr_725,BASIC,Active,2023-03-19,19:36:26,,,599,2023-03-20 14:16:00
sub_0266,usr_723,STANDARD,canceled,2020-09-25,07:16:52,2021-01-30,06:29:38,999,2021-02-03 05:08:00
sub_0033,usr_474,BASIC,cancelled,2021-10-20,13:23:43,2022-12-22,16:04:13,599,2022-12-23 14:14:00
sub_0409,usr_507,premium,canceled,2020-13-07,01:23:43,2021-01-29,05:03:37,1499,2021-01-29 16:16:00
sub_0317,usr_448,standard,ACTIVE,2021-02-25,07:24:29,,,999,
sub_0058,usr_346,PREMIUM,paused,2024-05-09,09:41:59,2024-04-31,23:12:10,1499,2024-05-13 07:24:00
sub_0313,usr_928,Premium,Cancelled,2021-08-19,13:58:57,2022-04-18,08:52:54,1499,2022-04-19 17:00:00
sub_0174,usr_164,basic,ACTIVE,2023-11-25,14:18:48,,,599,2023-11-27 10:35:00
sub_0227,usr_913,basic,paused,2023-11-21,02:18:48,2023-11-30,09:51:42,599,2023-12-03 21:33:00
sub_0056,usr_171,PREMIUM,ACTIVE,2023-06-08,04:26:12,,,1499,2023-06-12 09:04:00
sub_0192,usr_608,STANDARD,paused,2024-05-22,12:49:23,2024-06-15,15:12:39,999,2024-06-17 12:20:00
sub_0446,usr_467,PREMIUM,cancelled,2021-05-31,13:13:22,2021-06-20,04:02:19,1499,2021-06-23 11:33:00
